Blog	yet	week	real	heart	both	him	times	once	such	did	without	doesn	city	found	young	lot	name	track	bit	because	pretty	black	any	friends	everything	its	different	lost	why	play	high	came	red	until	three	white	enough	point	went	kind	tell	b	fun	hard	light	does	left	free	didn	set	head	sounds	bad	far	past	sometimes	put	each	together	maybe	might	dark	th	between	along	doing	early	said	thought	morning	blue	happy	pop	beautiful	used	least	quite	group	girl	sure	video	anything	change	four	single	played	summer	art	couple	john	coming	later	school	makes	give	late	record	face	though	style	ago	dance	probably	words	almost	yes	dead	sun	story	turn	wasn	fire	friend	run	fall	help	side	eyes	under	release	soul	perfect	stuff	start	room	listen	whole	remember	half	comes	hear	oh	heard	looking	records	radio	myself	favorite	actually	call	blog	getting	tracks	guitar	released	cover	line	won	already	having	playing	course	often	called	feeling	working	close	e	making	version	future	number	trying	took	someone	try	done	saw	break	hit	hand	list	sense	voice	isn	idea	la	bands	death	family	o	self	hope	shows	read	recorded	stop	felt	moment	dream	believe	cool	five	lyrics	finally	use	small	american	stay	stage	everyone	r	sort	country	st	rest	months	listening	taken	punk	anyone	deep	below	beat	must	return	experience	baby	yeah	moon	rather	sweet	during	street	project	open	true	seen	talk	either	watch	seems	gets	major	less	club	write	albums	front	artists	super	writing	become	party	across	picture	nice	gone	hours	david	anyway	classic	started	instead	note	age	fan	order	clear	wanted	check	singer	worth	musical	star	boy	bob	tour	cut	short	solo	machine	original	space	else	follow	recently	beach	hell	seem	decided	taking	knows	haven	yourself	title	miss	final	waiting	book	wrong	vocals	month	however	king	perhaps	sea	green	girls	behind	works	enjoy	god	talking	low	soon	reason	game	london	trip	hot	debut	easy	slow	wait	especially	mark	road	others	sing	ones	following	feels	special	amazing	case	local	seeing	matter	guys	previous	leave	move	history	mix	including	artist	mean	complete	couldn	singing	able	itself	guy	heavy	weekend	recent	cold	attention	reading	audience	blood	wish	several	drive	fact	bring	certainly	important	simple	wouldn	straight	alone	power	word	definitely	please	lead	needed	saying	turned	stars	bass	label	goes	link	near	com	rain	mostly	written	form	shit	themselves	minutes	studio	inside	guess	means	air	ready	based	simply	boys	although	given	outside	known	material	walk	sad	blues	indie	james	whatever	exactly	die	living	earlier	energy	york	kids	door	scene	l	born	lives	men	deal	interesting	n	electric	job	liked	town	mr	happen	forever	against	dreams	hold	etc	told	x	ride	piece	running	sleep	wild	minute	huge	wave	third	personal	wonder	u	entire	somewhere	december	himself	pink	sunday	spent	forward	due	example	gold	person	car	takes	hands	weeks	modern	mine	fans	watching	wall	knew	review	upon	paul	eventually	state	above	looks	longer	water	c	sky	west	places	thanks	non	fantastic	performance	needs	despite	g	opening	theme	de	ep	touch	moved	broken	national	ten	series	worked	brilliant
A2 MEDIA COURSEWORK JOINT BLOG	2	0	1	0	4	0	1	2	1	1	1	0	0	8	0	5	12	2	2	0	0	22	1	0	0	0	5	0	0	0	0	10	13	4	3	15	3	1	7	0	0	0	0	1	0	1	5	0	17	4	1	0	1	0	0	0	3	3	0	0	1	0	0	1	0	0	0	2	5	0	3	3	0	0	11	0	0	1	0	0	16	1	2	0	0	1	0	0	0	1	0	1	1	1	1	1	6	1	1	2	0	0	0	1	3	0	0	0	0	1	2	0	2	0	0	2	1	0	0	1	0	0	0	3	0	1	1	0	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	3	1	31	0	0	0	2	2	1	0	0	0	1	1	0	4	2	4	0	2	13	0	2	1	0	0	0	2	0	0	0	0	23	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	0	0	3	1	17	0	2	0	0	0	0	1	0	0	4	0	0	3	0	0	1	4	2	0	0	0	0	0	7	3	0	1	0	1	1	0	1	0	0	0	1	0	0	0	0	0	0	10	0	0	4	0	0	5	0	0	0	1	0	0	0	1	1	0	1	0	3	0	13	0	0	0	1	0	0	0	0	0	0	0	0	5	5	1	3	0	1	0	1	17	3	0	0	0	1	0	16	0	0	2	0	0	10	0	0	0	2	0	4	1	0	0	0	0	0	1	0	0	0	0	0	2	0	1	1	1	0	0	0	0	3	0	0	0	1	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	1	2	1	0	0	0	0	1	0	0	3	1	0	0	1	1	0	0	1	5	0	0	0	1	6	0	0	0	3	0	0	0	1	0	0	0	0	5	0	1	0	1	3	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	5	0	4	0	1	0	0	0	0	2	0	0	0	0	5	0
The Girl at the Rock Show	5	11	2	4	1	5	5	5	8	9	0	2	9	3	4	7	1	4	4	11	6	1	9	5	6	4	4	1	1	2	12	7	1	4	3	2	7	7	1	2	2	0	2	4	0	4	0	9	6	2	1	3	0	8	3	1	4	3	3	5	2	2	3	1	3	2	3	3	2	2	3	8	10	2	3	3	2	3	2	9	3	4	2	2	1	4	8	0	6	6	2	1	12	3	1	3	5	0	3	8	10	1	5	2	4	5	1	1	2	1	2	0	3	1	12	6	4	1	0	4	1	4	2	2	0	11	3	4	1	1	5	1	1	7	5	5	8	13	7	1	5	6	2	1	5	0	3	4	7	2	2	8	2	2	2	3	1	0	3	1	4	2	1	4	1	2	2	7	1	1	1	15	2	1	0	1	2	11	2	6	0	1	4	4	4	0	4	6	3	1	0	3	3	3	4	1	0	3	0	0	1	0	0	0	0	2	4	8	2	4	4	3	0	0	2	1	2	2	4	0	2	0	0	1	7	1	0	1	1	0	1	3	0	1	2	0	2	14	0	6	0	5	4	1	0	4	2	4	1	4	4	1	5	3	3	1	9	2	1	2	10	1	1	7	1	7	1	6	0	4	5	0	1	1	8	1	3	0	3	1	4	0	1	5	0	4	5	0	2	4	1	1	1	0	1	0	10	7	0	0	0	7	2	2	2	2	1	0	2	1	6	1	0	0	3	2	1	3	1	5	3	1	1	3	3	2	1	3	2	4	3	1	4	10	3	0	1	0	1	2	2	2	0	1	0	1	0	0	0	3	0	3	1	2	2	1	2	2	1	0	1	0	1	2	1	2	6	1	3	0	2	0	0	0	5	1	0	0	0	2	4	0	0	0	1	0	0	1	0	0	0	1	1	2	2	1	1	0	1	2	2	1	3	3	1	4	0	1	2	1	2	1	0	1	0	0	0	2	0	2	1	0	0	3	1	1	2	0	0	0	0	1	0	0	0	0	0	1	5	0	2	0	3	2	0	3	0	0	0	0	0	1	1	5	0	0	0	0	2	1	0	7	1	1	2	2	0	1	2	0	0	4	0	0	0	1	1	0	0	0	0	1	1	1	0	0	2	0	4	5	2	7	0	3	0	0	2	1	1	0
Rosie Gigg A2 Media Studies	0	0	0	1	0	0	0	0	4	0	1	0	0	1	0	1	4	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	2	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	4	0	1	0	5	0	5	0	0	2	0	0	18	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	1	0	1	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	1	0	1	0	0	1	2	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	3	2	0	0	0	1	2	0	0	0	0	0	0	1	1	0	2	1	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	8	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	1	0	2	2	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
Samtastic! Review	2	7	2	1	0	4	2	1	2	1	2	0	2	0	20	3	1	10	5	4	3	4	0	1	0	466	0	4	0	2	1	2	2	0	1	5	0	1	0	1	0	4	5	2	0	0	1	0	2	0	0	0	48	3	4	0	1	0	0	2	3	0	1	1	0	2	1	3	2	4	0	18	1	0	0	1	1	2	4	1	29	1	5	0	1	0	0	3	2	0	4	0	0	1	2	2	1	2	3	0	3	4	1	1	2	4	1	0	2	1	0	2	3	4	0	1	1	3	0	3	1	2	2	1	0	2	0	1	0	2	1	0	4	2	2	1	0	3	2	0	1	0	0	0	2	0	0	0	0	3	3	1	0	6	0	2	4	1	1	1	2	0	2	0	0	2	1	0	1	0	0	14	0	2	2	0	0	1	0	0	1	1	3	2	0	3	1	3	1	0	1	1	0	3	2	0	1	1	0	0	3	0	1	0	0	0	2	1	1	0	3	0	5	1	1	0	0	21	1	3	0	0	0	0	0	3	2	2	1	0	1	0	1	3	0	0	2	2	0	0	4	0	0	0	0	0	1	0	0	1	2	0	1	0	0	1	3	4	0	0	4	1	2	0	0	6	0	9	0	0	4	0	0	0	1	0	1	2	0	0	0	2	3	4	0	1	1	0	3	0	1	0	1	0	0	0	1	0	2	0	0	10	3	2	0	5	0	0	0	0	0	0	1	0	4	0	0	1	0	0	0	0	3	1	6	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	2	0	1	1	1	2	0	1	0	0	1	1	0	527	0	0	1	0	0	0	0	0	0	3	0	1	6	0	0	0	0	0	3	1	0	0	1	0	0	1	3	0	1	0	0	0	1	0	0	0	0	0	0	4	18	1	1	0	2	0	2	0	3	1	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	13	0	1	1	1	0	0	509	0	3	0	3	1	0	1	1	1	1	4	1	0	0	1	0	0	0	3	1	0	0	0	0	1	0	0	0	0	0	0
The Listening Ear	1	20	7	4	16	30	3	4	8	16	7	4	1	6	12	21	3	2	22	16	18	6	17	4	10	9	4	6	10	11	4	4	5	4	2	9	15	6	5	10	2	1	5	19	1	7	6	0	13	8	2	4	21	3	4	9	1	1	0	36	30	3	0	7	3	5	3	1	4	3	5	9	5	3	2	2	10	2	4	7	6	12	7	3	4	2	0	7	16	6	13	7	1	6	4	5	7	1	47	6	2	1	19	3	15	2	4	1	5	4	2	2	0	9	1	6	4	2	3	1	1	2	5	9	2	4	6	6	6	7	5	0	3	4	7	2	3	5	4	5	9	10	5	1	2	1	0	13	4	3	8	4	0	0	2	1	8	0	5	2	0	2	3	6	6	9	8	13	3	7	4	7	5	4	7	5	7	8	7	4	0	1	7	0	2	0	2	4	0	0	1	2	0	1	10	1	0	4	3	2	6	2	1	8	1	5	2	3	1	1	5	2	0	1	1	0	1	4	1	0	4	2	1	1	0	6	3	3	5	7	1	8	8	0	7	0	12	0	4	6	3	7	4	10	1	0	5	9	2	8	2	0	8	0	1	4	0	2	2	2	1	3	1	2	4	3	2	0	2	4	2	5	1	1	8	1	0	1	7	10	2	2	5	4	0	1	4	0	3	1	2	1	11	0	3	1	1	0	0	2	0	0	2	0	2	5	8	4	0	0	2	0	4	1	5	5	0	1	5	4	9	0	1	2	0	3	1	3	6	7	1	5	3	0	3	1	1	2	4	0	4	6	6	2	2	3	0	4	3	3	0	2	4	2	1	6	5	7	1	2	1	2	1	3	1	2	0	0	0	2	3	0	0	0	3	1	2	0	2	5	2	1	0	4	1	0	1	3	4	0	0	1	0	2	0	3	4	0	3	0	2	1	0	3	6	1	6	1	1	0	1	0	2	0	1	0	0	6	2	7	0	0	2	9	0	6	2	0	12	0	2	2	0	1	1	0	4	2	0	1	1	1	2	1	2	1	0	4	0	5	1	2	0	5	1	0	0	0	0	0	0	1	5	0	2	4	2	2	0	0	2	0	1	2	7	1	0	0	1	3	2	2	0	2	7	0	1	0	1	2	0	0	1	1	2	3	4	10	2	3
FlowRadio Playlists (and Blog)	0	1	1	1	0	0	0	2	0	1	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	1	0	0	0	0	0	1	0	0	1	2	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	2	0	2	1	0	0	0	1	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	1	1	0	0	1	0	0	2	0	0	3	0	0	3	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	1	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	2	0	0	0	6	0	0	2	2	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	2	0	1	10	1	0	2	1	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	2	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	3	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	3	0	1	0	0	0	0	0	4	1	1	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	2	0	0	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	1	0	3	4	0	1	1	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	1	3	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0
FOLK IS NOT HAPPY	2	0	5	2	4	6	0	1	3	0	1	2	6	0	1	0	0	3	0	4	1	2	2	2	0	14	2	3	0	3	1	1	0	2	1	2	0	1	0	5	0	6	0	4	6	4	3	1	0	4	4	9	0	3	1	2	1	4	3	1	4	4	2	5	1	0	3	5	0	1	0	0	5	3	0	1	1	4	0	1	1	2	1	0	4	3	1	0	0	2	3	1	0	1	1	1	11	2	3	3	1	1	0	1	3	0	5	8	0	1	0	2	0	0	0	1	2	5	1	2	2	1	1	0	1	2	5	1	0	2	1	0	2	0	4	1	0	0	0	0	0	3	3	18	6	5	4	1	0	2	5	1	3	2	1	0	2	0	0	1	0	4	0	1	0	0	0	14	1	0	2	0	1	12	2	0	2	2	0	2	2	3	1	1	0	3	0	3	3	1	0	0	0	5	3	3	3	7	0	2	0	0	2	3	1	0	0	3	2	0	2	1	0	0	2	2	1	0	0	1	4	0	3	1	0	1	1	0	1	3	0	2	1	0	2	0	2	8	1	1	0	1	3	0	1	0	0	1	0	0	0	3	0	1	2	0	0	1	4	0	0	4	1	3	0	0	0	0	2	0	3	0	3	1	0	1	0	1	0	1	0	1	0	2	0	4	0	0	0	2	0	9	0	4	0	4	1	1	1	3	1	0	0	0	0	0	0	0	1	1	0	2	4	1	0	0	0	0	0	0	1	5	4	0	0	2	0	1	1	0	2	1	2	0	2	0	1	1	4	1	16	0	3	0	2	0	3	0	1	1	0	1	0	0	0	0	2	1	1	1	0	1	1	1	2	1	0	1	0	0	1	3	10	6	0	0	1	6	0	1	1	3	1	0	1	5	2	1	1	0	0	0	1	0	4	0	1	1	0	0	0	1	0	1	0	1	0	1	1	0	1	0	1	1	0	0	0	1	1	0	0	3	0	0	2	0	0	0	2	0	0	0	0	0	0	3	0	0	1	2	0	0	0	1	1	0	2	0	0	0	0	0	0	0	0	5	1	0	0	1	0	0	0	0	1	0	0	0	0	3	2	0	1	2	0	0	1	0	2	2	0	0	0	0	1	1	1	0	1	0	1	0	0	2	0	1	1	1	0	1
Angie Dynamo	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	1	0	1	1	0	3	2	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0	2	0	0	0	0	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	2	0	1	0	1	0	1	0	0	0	1	2	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	3	0	1	1	1	1	0	0	0	1	0	0	0	0	1	1	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	1	0	0	1	3	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	1	0	0	2	0	0	2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
INDIEohren.!	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
Spinitron Blog	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	23	0	0	0	0	0	1	0	0	0	0	3	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0	1	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0
MAGGOT CAVIAR	2	2	1	1	4	2	1	3	1	2	0	2	1	7	2	0	3	21	2	0	1	2	1	0	0	0	5	5	1	1	1	5	4	7	15	0	4	1	2	1	1	5	0	4	3	0	0	1	0	17	1	0	1	4	2	1	0	6	0	4	2	0	18	3	3	5	8	0	1	0	1	1	7	0	2	1	3	15	3	1	0	0	0	9	10	2	2	1	1	24	1	10	0	0	2	2	3	0	0	0	0	2	0	0	3	2	1	0	0	0	4	3	1	3	6	0	4	0	2	7	1	2	1	1	10	0	1	0	0	1	0	1	1	0	1	2	0	0	1	2	5	0	18	3	20	3	4	1	4	1	0	1	0	2	0	1	0	2	2	10	2	1	0	1	0	0	2	0	2	2	1	5	1	0	0	0	3	1	2	1	0	2	0	2	0	17	3	2	1	1	0	0	6	0	0	0	2	0	0	1	0	3	0	0	4	1	3	4	4	6	3	1	2	1	2	2	0	2	8	1	0	0	3	0	1	0	0	1	0	0	0	6	1	0	0	1	0	8	1	2	2	0	1	1	8	0	2	3	0	1	0	1	0	0	0	1	2	1	1	0	0	2	0	2	2	1	0	2	1	2	1	1	6	1	0	2	3	0	0	2	1	0	0	0	1	3	2	2	0	0	1	1	5	0	2	1	0	0	1	0	0	1	0	0	1	2	1	0	2	1	0	18	0	1	0	0	1	0	0	0	0	5	0	1	0	1	0	0	2	0	2	3	0	0	2	8	0	0	7	0	0	0	0	0	2	1	3	0	0	3	2	1	0	4	1	1	1	1	0	0	2	0	0	0	0	0	3	1	0	0	1	0	5	8	0	0	0	0	0	0	0	2	0	0	0	6	0	0	0	2	0	0	0	1	2	1	0	3	5	0	0	2	2	1	0	2	0	2	0	1	0	0	0	0	0	2	0	0	0	2	1	1	0	0	0	2	0	0	0	0	0	0	0	0	4	2	1	0	0	1	0	3	3	0	1	0	0	0	2	1	3	1	3	1	4	0	0	0	0	0	0	1	0	0	3	0	1	0	0	7	2	2	1	0	1	0	0	3	0	0	0	4	2	0	1	0	1	1	1	1	0	24	0	0	0	1	6	0	2	1
Desolation Row Records	0	2	2	2	1	0	0	0	1	0	0	0	1	0	3	0	0	0	0	0	0	13	0	0	3	1	1	1	1	0	2	1	4	0	0	3	0	2	0	0	0	6	0	1	1	0	0	1	0	0	1	2	2	0	1	5	0	0	0	0	0	0	5	0	2	0	1	0	0	6	3	0	1	2	0	0	0	1	2	0	0	0	0	1	0	1	0	3	0	4	7	0	2	0	1	0	0	0	0	1	0	3	0	0	0	0	4	2	1	0	2	2	0	1	7	0	0	6	0	0	4	1	3	0	1	0	0	0	0	1	1	1	0	0	4	2	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	2	0	0	18	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	2	1	0	0	0	0	1	1	0	0	1	0	6	0	2	0	2	0	4	0	0	0	5	0	1	0	2	0	1	1	0	5	1	0	0	1	0	0	2	0	0	0	1	2	0	0	2	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	2	2	0	2	0	1	2	1	7	0	0	0	8	0	0	0	0	0	0	0	0	0	0	1	2	1	0	1	0	2	0	0	4	3	1	2	0	0	1	4	0	0	0	1	2	0	0	1	0	0	0	1	0	0	1	2	0	5	1	0	2	1	0	0	0	0	1	0	1	1	1	0	0	2	0	0	0	1	0	2	1	1	1	0	0	0	1	1	0	0	0	1	0	0	1	0	2	1	6	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	0	0	1	0	1	4	0	0	0	7	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	2	3	1	0	0	0	3	6	0	0	0	2	0	0	1	0	0	0	0	0	1	0	0	2	0	1	0	3	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0
